口座番号,口座番号枝番,口座名１,口座名２,部課名,チケット番号,使用日付,タクシー会社コード,金額
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,666830011,2012/6/21,69,4130
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,666830021,2012/6/21,9,2420
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667045203,2012/6/26,69,1520
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195601,2012/7/24,69,800
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195606,2012/7/24,69,710
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195607,2012/7/24,69,2150
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195608,2012/7/24,69,2510
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195609,2012/7/24,69,2060
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195610,2012/7/24,69,4310
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195611,2012/7/24,69,3680
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195612,2012/7/24,69,9310
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195613,2012/7/24,69,3050
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195701,2012/7/24,69,1970
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667195702,2012/7/24,69,4220
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667320202,2012/6/23,69,3590
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667447403,2012/7/20,69,10000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,667496703,2012/6/14,9,9990
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668020904,2012/8/3,69,3320
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668020910,2012/8/3,69,5660
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021004,2012/8/3,69,2060
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021011,2012/8/3,69,2450
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021017,2012/8/3,69,2510
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021124,2012/8/3,69,2870
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021208,2012/8/3,69,5440
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021211,2012/8/3,69,2510
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021213,2012/8/3,69,3140
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021214,2012/8/3,69,1160
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021218,2012/8/3,69,5120
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021302,2012/8/3,69,2780
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021308,2012/8/3,69,6080
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021316,2012/8/3,69,2690
