"ID","NAME","MEETINGNAME__C","MEETINGNO__C","TT_ARRANGESTATUSREQUEST__C","TT_ARRANGESTATUSRESPONSE__C","TT_TIMESTAMPBYL__C","TT_TIMESTAMPTOP__C","TT_LASTAPPROVALUSERNAME__C","TT_LASTAPPROVALDATE__C","TT_STARTDATEREMARKS__C","TT_PLACEPREFECTURE__C","TT_PLACECITY__C","TT_PLACEFREE__C","TT_STARTTIME__C","TT_ENDTIME__C","TT_HALLLAYOUT__C","TT_NEEDDISCUSSION__C","TT_NEEDPARTY__C","TT_NUMBEROFPARTICIPANTSPARTY__C","TT_NEEDANTEROOMLECTURE__C","TT_NEEDANTEROOMLECTURETIMEFROM__C","TT_NEEDANTEROOMLECTURENUMBER__C","TT_NEEDANTEROOMEMPLOYEE__C","TT_NEEDANTEROOMEMPLOYEENUMBER__C","TT_NEEDSPONSOR__C","TT_NEEDSPONSORTIMEFROM__C","TT_NEEDSPONSORNUMBER__C","TT_WISHINGSTAYNUMBER__C","TT_WISHINGSTAYDATE__C","TT_ARRANGEPLANNUMBERTRAFFIC__C","TT_ARRANGEPLANNUMBERTAXI__C","TT_REMARKSOTHER__C","TT_STATUSREQUEST__C","TT_LASTMODIFIEDDATE__C","MEETINGDIVISION__C","DELETEFLG__C","INVALID__C","CREATEDDATE","LASTMODIFIEDDATE"
"a0G1000000VQMcAEAX","MTA14-00000001","福島県産婦人科医会　県中地区勉強会","MTG14-00000045","2","2","20140312120052","","","","トップツアーを通して依頼済み
見積書、入手済み
講演会番号：4MRN0011","福島県","郡山市","郡山ビューホテル","18:30","22:00","1","true","true","7.0","true","17:00","4.0","false","0.0","false","","0.0","0.0","20140626","0.0","0.0","演者の交通手配は、演者担当の竹中ＭＲに依頼予定","0.0","2014-03-12T03:00:52.000Z","1","false","false","2014-03-12T02:53:49.000Z","2014-07-09T10:30:48.000Z"
"a0G1000000VQN5gEAH","MTA14-00000002","WDKN 鈴木 2014.07.16","MTG14-00000098","2","2","20140312125316","","","","","福島県","会津若松市","ホテルニューパレス
ＢＹＬの鈴木で予約済み","18:45","22:00","1","true","true","7.0","true","17:00","4.0","false","0.0","false","","0.0","0.0","20140716","1.0","0.0","","0.0","2014-03-12T03:53:16.000Z","1","false","false","2014-03-12T03:42:16.000Z","2014-09-22T08:50:33.000Z"
"a0G1000000VQZBsEAP","MTA14-00000003","EYL CRVO名古屋講演会","MTG14-00000063","3","2","20140314013506","","","","2014年6月12日（木）
名古屋東急ホテル　仮予約済　見積り入手済","愛知県","名古屋市","名古屋市","19:00","21:00","1","true","false","0.0","true","18:00","6.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-03-13T16:35:06.000Z","1","false","false","2014-03-13T13:41:01.000Z","2014-07-09T10:30:48.000Z"
"a0G1000000VQZCPEA5","MTA14-00000004","眼科コ・メディカルセミナー","MTG14-00000092","1","","20140313225452","","","","2014年8月31日（日）会場仮予約済　ジェイコムへ依頼済","東京都","品川","東京コンファレンスセンター・品川","10:00","16:00","1","true","false","0.0","true","9:00","20.0","true","30.0","false","","0.0","0.0","","0.0","0.0","コメディカルの参加者には交通手配なし","0.0","2014-03-13T13:54:52.000Z","1","false","false","2014-03-13T13:54:08.000Z","2014-07-09T10:30:48.000Z"
"a0G1000000VRNfDEAX","MTA14-00000149","EYL第68回日本臨床眼科学会","MTG14-00000170","","","","","","","","","","手配不要","12:00","13:00","9","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","手配不要","0.0","","1","true","true","2014-03-19T02:30:16.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001YTjsMAG","MTA14-00001784","Internal Order テスト","MTG14-00004256","3","","20140624122456","","","","","","","大阪","10:00","12:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-06-24T03:24:56.000Z","1","false","false","2014-06-24T01:46:05.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001YXpNMAW","MTA14-00000414","ACTIS-説明会-asanaka-A02","MTG14-00001485","2","","20140411170324","","","","","東京都","千代田区","かいさいきぼうち。。。","12:00","13:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-04-11T08:03:24.000Z","2","false","false","2014-04-11T07:54:29.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001YY8dMAG","MTA14-00000415","ACTIS-外来講師-asanaka-B03","MTG14-00001486","5","","20140515152009","","","","","東京都","港区","あああああああああああああ","10:00","20:00","1","false","false","3.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-05-15T06:20:09.000Z","3","false","false","2014-04-11T08:00:10.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001YYhGMAW","MTA14-00000416","ACTIS-主催講演会-asanaka-C02","MTG14-00001487","5","","20140514201209","","","","","北海道","旭川市","ああああああああああああああああああああああ","00:00","00:00","3","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-05-14T11:12:09.000Z","1","false","false","2014-04-11T08:12:56.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001YYuYMAW","MTA14-00000417","ACTIS-その他会合-asanaka-E02","MTG14-00001488","5","","20140514201508","","","","あああああああああ","青森県","弘前市","ええええええええええええええええええ","00:00","00:00","4","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-05-14T11:15:08.000Z","4","false","false","2014-04-11T08:13:44.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001YYudMAG","MTA14-00000418","ACTIS-その他会合PDMAF-F04","MTG14-00001489","5","","20140514201644","","","","えええええええええええ","岩手県","盛岡市","ｙｙｙｙｙｙｙｙｙｙｙｙｙｙｙｙ","00:00","00:00","3","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-05-14T11:16:44.000Z","4","false","false","2014-04-11T08:16:13.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001YYuiMAG","MTA14-00000419","ACTIS-プロマテ-asanaka-G03","MTG14-00001490","5","","20140514201844","","","","ｒｒｒｒｒｒｒｒｒｒｒｒｒｒｒ","秋田県","秋田市","ｊｊｊｊｊｊｊｊｊｊｊｊｊｊｊｊｊｊｊｊｊｊｊ","00:00","00:00","3","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-05-14T11:18:44.000Z","4","false","false","2014-04-11T08:16:58.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001Z5fyMAC","MTA14-00000420","テストWEBカンファレンス","MTG14-00001492","","","","","","","","","","市立芦屋病院をＭＲが手配","17:00","18:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","","1","false","false","2014-04-14T07:51:46.000Z","2014-07-14T00:30:06.000Z"
"a0GN0000001ZOhXMAW","MTA14-00000427","テストWEBカンファレンス","MTG14-00001492","3","","20140415104131","","","","","","","弁当手配のみ","17:00","18:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-04-15T01:41:31.000Z","1","false","false","2014-04-15T01:37:15.000Z","2015-03-03T08:30:28.000Z"
"a0GN0000001bM1UMAU","MTA14-00000428","ACTIS-説明会-asanaka-A01","MTG14-00001516","2","","20140422092810","","","","","北海道","旭川市","旭川センタービル１５階","12:00","13:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-04-22T00:28:10.000Z","2","false","false","2014-04-22T00:26:59.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001bM1ZMAU","MTA14-00000429","ACTIS-説明会-asanaka-A01","MTG14-00001516","2","","20140422093213","","","","","北海道","旭川市","ああああああああああああああああああああ","12:00","13:00","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-04-22T00:32:13.000Z","2","false","false","2014-04-22T00:29:03.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001bM1eMAE","MTA14-00000430","ACTIS-説明会-asanaka-A02","MTG14-00001485","","","","","","","","北海道","旭川市","123456789","12:00","13:00","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","","2","false","false","2014-04-22T00:30:27.000Z","2014-11-26T07:55:50.000Z"
"a0GN0000001bM1yMAE","MTA14-00000431","ACTIS-説明会-asanaka-A01","MTG14-00001516","","","","","","","","北海道","旭川市","444444","12:00","13:00","3","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","","2","false","false","2014-04-22T00:35:00.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001bM23MAE","MTA14-00000432","ACTIS-説明会-asanaka-A02","MTG14-00001485","3","","20140422094215","","","","","北海道","旭川市","255555","12:00","13:00","3","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-04-22T00:42:15.000Z","2","false","false","2014-04-22T00:36:44.000Z","2014-07-09T10:30:48.000Z"
"a0GN0000001bM28MAE","MTA14-00000433","ACTIS-外来講師-asanaka-B03","MTG14-00001486","3","","20140422095237","","","","","北海道","旭川市","ああああああああああああああああああああ","10:00","20:00","1","false","false","3.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","","0.0","2014-04-22T00:52:37.000Z","3","false","false","2014-04-22T00:47:33.000Z","2014-07-09T10:30:48.000Z"
