"ID","NAME","MEETINGNO__C","TT_ARRANGESTATUSREQUEST__C","TT_TIMESTAMPBYL__C","TT_LASTAPPROVALUSERNAME__C","TT_LASTAPPROVALDATE__C","TT_STARTDATEREMARKS__C","TT_PLACEPREFECTURE__C","TT_PLACECITY__C","TT_PLACEFREE__C","TT_STARTTIME__C","TT_ENDTIME__C","TT_HALLLAYOUT__C","TT_NEEDDISCUSSION__C","TT_NEEDPARTY__C","TT_NUMBEROFPARTICIPANTSPARTY__C","TT_NEEDANTEROOMLECTURE__C","TT_NEEDANTEROOMLECTURETIMEFROM__C","TT_NEEDANTEROOMLECTURENUMBER__C","TT_NEEDANTEROOMEMPLOYEE__C","TT_NEEDANTEROOMEMPLOYEENUMBER__C","TT_NEEDSPONSOR__C","TT_NEEDSPONSORTIMEFROM__C","TT_NEEDSPONSORNUMBER__C","TT_WISHINGSTAYNUMBER__C","TT_WISHINGSTAYDATE__C","TT_ARRANGEPLANNUMBERTRAFFIC__C","TT_ARRANGEPLANNUMBERTAXI__C","TT_REMARKSOTHER__C"
"a0G1000000ntoAGEAY","MTA15-00009534","MTG15-00038803","3","20150415092709","村地 稔","20150415","","","","新潟大学医歯学総合病院","18:30","19:45","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","病棟の第5検討会室で行いますので、会場手配は必要ありません。"
"a0G1000000jYlGLEA0","MTA15-00007712","MTG15-00037099","3","20150220092248","","","","","","東大阪市立総合病院　外来化学療法室","18:00","18:50","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内で行いますので、会場の手配の必要はありません"
"a0G1000000jYmu7EAC","MTA15-00007732","MTG15-00037099","3","20150219133308","","","","","","諫早総合病院　6階会議室","18:00","18:50","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","病院会議室にて開催予定のため、会場手配は必要ありません。"
"a0G1000000jYn5yEAC","MTA15-00007734","MTG15-00036018","3","20150220094918","","","","沖縄県","豊見城市","豊見城中央病院5階　多目的ホールA","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内で実施しますので、会場手配は必要ありません"
"a0G1000000jYn9REAS","MTA15-00007735","MTG15-00037099","3","20150219140803","","","","","","大阪労災病院","18:00","18:50","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内会議室で実施する為、会場手配は必要ありません。"
"a0G1000000jYnEbEAK","MTA15-00007738","MTG15-00039623","2","20150223123757","","","","千葉県","千葉市","【仮予約済みです】
クロス・ウェーブ幕張
千葉県千葉市美浜区中瀬1-3幕張テクノガーデンA棟
043-298-1161(TEL)","00:00","00:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYnD4EAK","MTA15-00007737","MTG15-00037688","3","20150219213342","","","","","","千葉県循環器病センター4階カンファレンスルーム","19:00","20:00","2","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYnBhEAK","MTA15-00007736","MTG15-00037688","3","20150219213312","","","","","","帝京市原循環器科医局","19:00","20:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYnIREA0","MTA15-00007740","MTG15-00036018","3","20150219152128","","","","福岡県","","学内","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","学内開催の為、手配不要"
"a0G1000000jYpKUEA0","MTA15-00007753","MTG15-00037688","3","20150219214858","","","","","","院内会議室で実施しますので、会場手配不要です。","19:00","20:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内会議室で実施しますので、会場手配不要です。
（桜橋渡辺病院）"
"a0G1000000jYpJbEAK","MTA15-00007751","MTG15-00036018","3","20150219235304","","","","","","北信総合病院","19:00","20:00","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","透析室で行いますので、会場手配は不要です。"
"a0G1000000jYoNeEAK","MTA15-00007745","MTG15-00037099","3","20150219175707","","","","愛媛県","松山市","会場手配不要","18:00","18:50","9","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内で開催"
"a0G1000000jYou9EAC","MTA15-00007749","MTG15-00037099","3","20150219210855","","","","福岡県","福岡市南区","福岡赤十字病院院内","18:00","18:50","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYpMQEA0","MTA15-00007755","MTG15-00037302","3","20150220063023","","","","神奈川県","","院内会議室にて実施のため、手配不要です。","19:00","20:00","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
